system:index,cell_id,lat,lon,mean_ntl,month,sum_ntl,.geo
+2282+335,292628,15.069238653549103,102.52023180014183,1.269237612526979,2024-03,126.91878385029588,"{""type"":""Point"",""coordinates"":[102.52023180014183,15.069238653549103]}"
+2282+336,397917,15.114154416785007,102.52023180014272,1.8946417582432913,2024-03,189.45674585664975,"{""type"":""Point"",""coordinates"":[102.52023180014272,15.114154416785007]}"
+2282+337,594427,15.159070180002482,102.52023180014804,1.770338438516448,2024-03,177.0269013479644,"{""type"":""Point"",""coordinates"":[102.52023180014804,15.159070180002482]}"
+2282+338,449521,15.203985943227675,102.52023180014862,3.6628389423831047,2024-03,366.2695301640267,"{""type"":""Point"",""coordinates"":[102.52023180014862,15.203985943227675]}"
+2282+339,640781,15.248901706456042,102.52023180014311,1.8008796449754607,2024-03,180.08090222442857,"{""type"":""Point"",""coordinates"":[102.52023180014311,15.248901706456042]}"
+2282+340,54075,15.293817469674508,102.5202318001385,0.6904796309165194,2024-03,69.04525532839347,"{""type"":""Point"",""coordinates"":[102.5202318001385,15.293817469674508]}"
+2282+341,465864,15.33873323288606,102.52023180014167,0.6972359708816079,2024-03,69.72086282945148,"{""type"":""Point"",""coordinates"":[102.52023180014167,15.338733232886057]}"
+2282+342,521027,15.383648996103584,102.52023180014167,1.6728914864596496,2024-03,167.28258828719459,"{""type"":""Point"",""coordinates"":[102.52023180014167,15.383648996103584]}"
+2282+343,69181,15.428564759319677,102.52023180013937,1.5878289445923222,2024-03,158.7766676790574,"{""type"":""Point"",""coordinates"":[102.52023180013938,15.428564759319677]}"
+2282+344,334011,15.47348052253053,102.52023180014416,1.5232514970218145,2024-03,152.31917616689907,"{""type"":""Point"",""coordinates"":[102.52023180014417,15.47348052253053]}"
+2282+345,189130,15.51839628573746,102.5202318001439,1.1341440771775098,2024-03,113.40996009391895,"{""type"":""Point"",""coordinates"":[102.5202318001439,15.51839628573746]}"
+2282+346,431860,15.563312048944084,102.52023180013839,1.5584081719938858,2024-03,155.83470579479257,"{""type"":""Point"",""coordinates"":[102.5202318001384,15.563312048944084]}"
+2282+347,402348,15.608227812142445,102.52023180013953,0.7033287552839315,2024-03,70.33011737641166,"{""type"":""Point"",""coordinates"":[102.52023180013954,15.608227812142442]}"
+2282+348,981480,15.653143575349395,102.5202318001418,1.8694078243967633,2024-03,186.93345142860034,"{""type"":""Point"",""coordinates"":[102.5202318001418,15.653143575349395]}"
+2282+349,10241,15.698059338536382,102.52023180014001,0.6707737548869565,2024-03,67.07474500338238,"{""type"":""Point"",""coordinates"":[102.52023180014001,15.698059338536382]}"
+2282+350,178775,15.742975101746707,102.5202318001442,0.7418381121655181,2024-03,74.18090204748452,"{""type"":""Point"",""coordinates"":[102.52023180014422,15.742975101746707]}"
+2282+351,856767,15.787890864927544,102.52023180014734,1.5907761168562193,2024-03,159.07137334790883,"{""type"":""Point"",""coordinates"":[102.52023180014736,15.787890864927547]}"
+2282+352,283129,15.832806628122453,102.52023180014665,1.2208168991776398,2024-03,122.07690240051235,"{""type"":""Point"",""coordinates"":[102.52023180014665,15.832806628122453]}"
+2282+353,46122,15.877722391310453,102.52023180014747,0.8923440147738411,2024-03,89.2309020890909,"{""type"":""Point"",""coordinates"":[102.52023180014749,15.877722391310453]}"
+2282+354,301262,15.922638154495784,102.52023180014568,1.188603082069336,2024-03,118.85564701837652,"{""type"":""Point"",""coordinates"":[102.5202318001457,15.922638154495788]}"
+2282+355,409065,15.967553917667923,102.520231800145,1.0651798119715243,2024-03,106.51380402141925,"{""type"":""Point"",""coordinates"":[102.52023180014501,15.967553917667923]}"
+2282+356,832680,16.012469680870165,102.52023180014453,0.7929569811693634,2024-03,79.2925884817161,"{""type"":""Point"",""coordinates"":[102.52023180014453,16.012469680870165]}"
+2282+357,399451,16.057385444040086,102.52023180014316,0.9610345550455611,2024-03,96.09968674159518,"{""type"":""Point"",""coordinates"":[102.52023180014318,16.057385444040086]}"
+2282+358,585348,16.10230120720506,102.52023180014393,1.496200637846087,2024-03,149.614196331127,"{""type"":""Point"",""coordinates"":[102.52023180014393,16.10230120720506]}"
+2282+359,165103,16.147216970384356,102.52023180014459,2.1992431032227047,2024-03,219.9156858395128,"{""type"":""Point"",""coordinates"":[102.5202318001446,16.147216970384356]}"
+2282+360,486708,16.192132733547545,102.52023180014632,0.7447715592917761,2024-03,74.4742352563961,"{""type"":""Point"",""coordinates"":[102.52023180014632,16.19213273354755]}"
+2282+361,170847,16.2370484967247,102.52023180014622,1.2518530145250695,2024-03,125.18039222499904,"{""type"":""Point"",""coordinates"":[102.52023180014623,16.237048496724697]}"
+2282+362,885527,16.281964259882884,102.52023180014523,0.8756410068374288,2024-03,87.56066679744158,"{""type"":""Point"",""coordinates"":[102.52023180014523,16.281964259882884]}"
+2282+363,655408,16.32688002305014,102.5202318001478,1.5333664085267635,2024-03,153.33062765107434,"{""type"":""Point"",""coordinates"":[102.5202318001478,16.32688002305014]}"
+2282+364,512228,16.37179578621084,102.52023180014915,1.091036113525232,2024-03,109.09933277952902,"{""type"":""Point"",""coordinates"":[102.52023180014916,16.37179578621084]}"
+2282+365,41366,16.416711549355764,102.52023180014866,1.2606415899694046,2024-03,126.05921530443081,"{""type"":""Point"",""coordinates"":[102.52023180014866,16.416711549355764]}"
+2282+366,77218,16.461627312524378,102.52023180014574,1.156850854611087,2024-03,115.68054879109064,"{""type"":""Point"",""coordinates"":[102.52023180014575,16.461627312524378]}"
+2282+367,728796,16.506543075670077,102.52023180014271,1.3718518399248827,2024-03,137.17980418135136,"{""type"":""Point"",""coordinates"":[102.52023180014271,16.506543075670077]}"
+2282+368,584437,16.55145883882151,102.52023180014129,0.5597172412569744,2024-03,55.969529156123905,"{""type"":""Point"",""coordinates"":[102.52023180014129,16.55145883882151]}"
+2282+369,216110,16.59637460196235,102.52023180014312,0.5786081786246675,2024-03,57.858548810785884,"{""type"":""Point"",""coordinates"":[102.52023180014312,16.59637460196235]}"
+2282+370,831703,16.641290365107288,102.52023180014582,0.5594564465579951,2024-03,55.94345070895028,"{""type"":""Point"",""coordinates"":[102.52023180014582,16.641290365107288]}"
+2282+371,102242,16.686206128250987,102.52023180014554,0.5225377452773688,2024-03,52.25172536010837,"{""type"":""Point"",""coordinates"":[102.52023180014554,16.686206128250987]}"
+2282+372,959738,16.731121891387478,102.52023180014693,0.4594411541211416,2024-03,45.94231368209802,"{""type"":""Point"",""coordinates"":[102.52023180014693,16.731121891387478]}"
+2282+373,273641,16.77603765452571,102.52023180014601,0.3941546720688733,2024-03,39.41392150229099,"{""type"":""Point"",""coordinates"":[102.52023180014601,16.77603765452571]}"
+2282+374,52842,16.820953417661364,102.5202318001458,0.4819789007081111,2024-03,48.19599995747501,"{""type"":""Point"",""coordinates"":[102.5202318001458,16.820953417661364]}"
+2282+375,460660,16.865869180779182,102.5202318001453,0.6273900918413308,2024-03,62.73654883083176,"{""type"":""Point"",""coordinates"":[102.5202318001453,16.865869180779182]}"
+2282+376,131042,16.910784943924146,102.5202318001434,1.0061669126646793,2024-03,100.61274551386927,"{""type"":""Point"",""coordinates"":[102.5202318001434,16.910784943924146]}"
+2282+377,994955,16.955700707039075,102.52023180014234,1.089556850179433,2024-03,108.95141224598186,"{""type"":""Point"",""coordinates"":[102.52023180014234,16.955700707039075]}"
+2282+378,483906,17.000616470163482,102.52023180014382,0.6047978318377125,2024-03,60.477411427567986,"{""type"":""Point"",""coordinates"":[102.52023180014382,17.000616470163482]}"
+2282+379,749151,17.045532233287556,102.52023180014493,0.7868771365569746,2024-03,78.6846278630051,"{""type"":""Point"",""coordinates"":[102.52023180014493,17.04553223328756]}"
+2282+380,343982,17.090447996394193,102.52023180014237,0.6210949431307581,2024-03,62.107058646632176,"{""type"":""Point"",""coordinates"":[102.52023180014238,17.090447996394193]}"
+2282+381,293987,17.13536375951501,102.52023180014129,0.5730530567330757,2024-03,57.30305840641844,"{""type"":""Point"",""coordinates"":[102.52023180014129,17.13536375951501]}"
+2282+382,581615,17.180279522628826,102.52023180014552,0.8010823946872629,2024-03,80.10509796913931,"{""type"":""Point"",""coordinates"":[102.52023180014554,17.180279522628826]}"
+2282+383,810283,17.225195285728365,102.5202318001462,1.6299384278271012,2024-03,162.98745086730693,"{""type"":""Point"",""coordinates"":[102.5202318001462,17.225195285728365]}"
+2282+384,492321,17.27011104884658,102.52023180014275,1.129481158023619,2024-03,112.94368646448734,"{""type"":""Point"",""coordinates"":[102.52023180014277,17.27011104884658]}"
+2282+385,392700,17.31502681194181,102.52023180014223,0.9653657007050972,2024-03,96.53278432266384,"{""type"":""Point"",""coordinates"":[102.52023180014223,17.31502681194181]}"
+2282+386,468099,17.359942575037845,102.52023180013899,0.8045013578944429,2024-03,80.44698088215846,"{""type"":""Point"",""coordinates"":[102.520231800139,17.359942575037845]}"
+2282+387,321973,17.404858338143846,102.52023180013896,0.6772995011386387,2024-03,67.72729403738883,"{""type"":""Point"",""coordinates"":[102.52023180013896,17.40485833814385]}"
+2282+388,194407,17.449774101242124,102.52023180013947,0.7650833389500438,2024-03,76.505333568185,"{""type"":""Point"",""coordinates"":[102.52023180013947,17.449774101242124]}"
+2282+389,28992,17.494689864317632,102.5202318001421,0.7198799996580523,2024-03,71.98517690698306,"{""type"":""Point"",""coordinates"":[102.52023180014211,17.494689864317635]}"
+2282+390,296779,17.53960562741842,102.5202318001472,0.4561563175146922,2024-03,45.613842903165256,"{""type"":""Point"",""coordinates"":[102.5202318001472,17.53960562741842]}"
+2282+391,21095,17.584521390500395,102.52023180014686,0.5285948455717062,2024-03,52.857411636207615,"{""type"":""Point"",""coordinates"":[102.52023180014687,17.584521390500395]}"
+2282+392,448325,17.62943715359463,102.5202318001456,0.8986913235700662,2024-03,89.86560807730638,"{""type"":""Point"",""coordinates"":[102.5202318001456,17.629437153594633]}"
+2282+393,262039,17.67435291665391,102.52023180014218,0.9064633904884801,2024-03,90.64278429045397,"{""type"":""Point"",""coordinates"":[102.52023180014218,17.67435291665391]}"
